CHARGE_TYPE_ID,TAX_CHARGETYPE_ID,TAX_CHARGE_UNIQUE_ID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   <endrec>
"10000020","10008","937218886"<endrec>
"10000056","10009","937218910"<endrec>
"10001251","10010","937218910"<endrec>
"10001252","10011","937218910"<endrec>
"10001271","10012","937218910"<endrec>
"10001251","10013","937219073"<endrec>
"10001251","10014","937219076"<endrec>
"10001271","10015","937219085"<endrec>
"10001271","10016","937219089"<endrec>
"10000056","10017","937219093"<endrec>
"10001251","10018","937219093"<endrec>
"10000020","10019","937219093"<endrec>
"10001271","10020","937219093"<endrec>
"10000056","10021","937219095"<endrec>
"10000020","10022","937219095"<endrec>
"10000056","10023","937219096"<endrec>
"10000047","11008","937224559"<endrec>
"10001281","12008","937235546"<endrec>
"10000027","13009","937250731"<endrec>
"10000020","14009","937258816"<endrec>
"10000029","15009","937260761"<endrec>
"10000047","15010","937260761"<endrec>
"10001291","16011","937277832"<endrec>
"10000020","16012","937277832"<endrec>
"10001291","17011","937278839"<endrec>
"10000020","17012","937278839"<endrec>
"10001291","17013","937278841"<endrec>
"10000020","17014","937278841"<endrec>
"10000025","18011","937283824"<endrec>
"10000057","18012","937283824"<endrec>
"10000090","18013","937283824"<endrec>
"10000091","18014","937283824"<endrec>
"10000017","18015","937283824"<endrec>
"10000098","18016","937283824"<endrec>
"10000099","18017","937283824"<endrec>
"10001251","18018","937283824"<endrec>
"10001252","18019","937283824"<endrec>
"10000101","18020","937283824"<endrec>
"10000102","18021","937283824"<endrec>
"10000017","18022","937283825"<endrec>
"10000056","18026","937283854"<endrec>
"10000027","18027","937283854"<endrec>
"10000056","19011","937285829"<endrec>
"10000027","19012","937285829"<endrec>
"10001372","19013","937285829"<endrec>
"10000020","19014","937285829"<endrec>
"10000056","19015","937285835"<endrec>
"10000027","19016","937285835"<endrec>
"10001372","19017","937285835"<endrec>
"10000020","19018","937285835"<endrec>
"10000056","20011","937290853"<endrec>
"10000027","20012","937290853"<endrec>
"10001372","20013","937290853"<endrec>
