CHARGE_TYPE_ID,CREATE_OPER_ID,CREATE_OPER_TIME,CURRENCY,EFFECTIVEMODE,EFFECTIVE_DATE,EXPIRY_DATE,LAST_OPER_ID,LAST_OPER_TIME,LOAD_DATA_TS,RANK_FLAG,RANK_ID,RATE_TYPE,STATUS,TAXEXEMPT4PAYEE,TAX_CODE_DESCRIPTION,TAX_CODE_ID,TAX_CODE_NAME,TAX_MODE,TAX_RATE,TAX_RATE_MODE,TAX_RATE_RULE_MODE,UNIQUE_ID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                <endrec>
"20001","203000000000010002","2014-03-13 20:35:13.033000","TZS","1","2014-03-13 20:35:13.104000","2099-12-31 00:00:00.000000","203000000000010002","2014-03-31 15:08:13.111000","","","","","50","0","Commission Earned Withholding Tax Charge For Organizations","20001","1000","2","5","1","","20163"<endrec>
"20001","203000000000010002","2014-03-31 14:49:01.394000","TZS","1","2014-03-31 14:49:01.421000","2016-03-03 14:11:32.510000","203000000000010809","2016-03-03 14:11:32.514000","","","","","50","0","Commission Earned Withholding Tax Charge For Organizations","20001","1000","2","5.26","1","","30010085"<endrec>
"2001520","203000000000010809","2016-03-03 13:33:44.282000","TZS","1","2016-03-03 13:33:48.886000","2016-03-04 11:27:44.186000","203000000000010806","2016-03-04 11:27:44.279000","","","","","50","0","VAT","20051","VAT","1","20","1","S","937183513"<endrec>
"20001","203000000000010809","2016-03-03 14:11:27.832000","TZS","1","2016-03-03 14:11:32.510000","2016-03-03 15:21:44.543000","203000000000010809","2016-03-03 15:21:44.554000","","","","","50","0","Commission Earned Withholding Tax Charge For Organizations","20001","1000","2","0","1","S","937183516"<endrec>
"20001","203000000000010809","2016-03-03 15:21:37.784000","TZS","1","2016-03-03 15:21:44.543000","2016-03-04 11:07:40.702000","203000000000010806","2016-03-04 11:07:40.708000","","","","","50","0","Commission Earned Withholding Tax Charge For Organizations","20001","1000","2","20","1","S","937183517"<endrec>
"20001","203000000000010806","2016-03-04 11:07:09.806000","TZS","1","2016-03-04 11:07:40.702000","2016-03-07 12:53:22.904000","203000000000010806","2016-03-07 12:53:22.925000","","","","","50","0","Commission Earned Withholding Tax Charge For Organizations","20001","1000","2","0","1","S","937183525"<endrec>
"2001520","203000000000010806","2016-03-04 11:26:50.440000","TZS","1","2016-03-04 11:27:44.186000","2016-03-10 13:39:33.616000","203000000000010809","2016-03-10 13:39:33.620000","","","","","50","0","VAT","20051","VAT","1","0","1","S","937183527"<endrec>
"20001","203000000000010806","2016-03-07 12:53:02.031000","TZS","1","2016-03-07 12:53:22.904000","2017-09-12 05:29:34.979000","203000000000026203","2017-09-12 05:29:34.980000","","","0","","50","0","Commission Earned Withholding Tax Charge For Organizations","20001","1000","2","10.00","1","S","937184531"<endrec>
"2001520","203000000000010809","2016-03-10 13:39:19.542000","TZS","1","2016-03-10 13:39:33.616000","2016-07-15 07:48:50.350000","203000000000014908","2016-07-15 07:48:50.352000","","","0","","50","0","VAT","20051","VAT","1","20","1","S","937184541"<endrec>
"2001522","203000000000013818","2016-06-16 04:46:03.721000","TZS","1","2016-06-17 04:27:19.948000","2099-12-31 23:59:59.000000","203000000000013818","2016-06-17 04:27:19.951000","","0","0","0","30","0","Principle percent increase","20061","Principle percent increase","1","10.00","1","S","937210786"<endrec>
"2001532","203000000000013818","2016-06-17 00:47:27.084000","TZS","1","2016-06-17 04:22:27.692000","2099-12-31 23:59:59.000000","203000000000013818","2016-06-17 04:22:27.695000","","0","0","0","30","0","Principle percent decrease","20071","Principle percent decrease","2","20.00","1","S","937211543"<endrec>
"2001534","203000000000013818","2016-06-17 04:29:43.499000","TZS","1","2016-06-17 04:29:52.570000","2016-08-12 16:39:16.612000","203000000000014909","2016-08-12 16:39:16.615000","","0","0","1","50","0","tax on principle fixed decrease","20072","tax on principle fixed decrease","2","1000","1","S","937211552"<endrec>
"2001533","203000000000013818","2016-06-17 04:30:57.406000","TZS","1","2016-06-17 04:31:05.011000","2016-08-12 16:07:42.927000","203000000000014909","2016-08-12 16:07:42.931000","","0","0","1","50","0","tax on principle fixed increase","20073","tax on principle fixed increase","1","1500","1","S","937211553"<endrec>
"2001535","203000000000013818","2016-06-17 04:35:21.088000","TZS","1","2016-06-17 04:35:32.265000","2099-12-31 23:59:59.000000","203000000000014909","2018-06-29 16:35:44.807000","","2","4007","0","60","0","tax on principle tier decrease fixed","20074","tax on principle tier decrease fixed","2","","1","S","937211554"<endrec>
"2001536","203000000000013818","2016-06-17 04:38:57.718000","TZS","1","2016-06-17 04:40:45.248000","2017-03-09 11:22:02.839000","203000000000016349","2017-03-09 11:22:02.841000","","2","4008","0","50","0","tax on principle tier increase percent","20075","tax on principle tier increase percent","1","","1","S","937211555"<endrec>
"2001537","203000000000013818","2016-06-17 04:46:05.263000","TZS","1","2016-06-17 04:46:49.585000","2099-12-31 23:59:59.000000","203000000000014909","2018-06-29 16:35:53.003000","","2","4009","0","60","0","tax on principle tier increase mix","20076","tax on principle tier increase mix","1","","1","S","937211557"<endrec>
"2001539","203000000000013818","2016-06-17 05:26:24.644000","TZS","1","2016-06-17 05:31:12.621000","2016-06-21 08:17:04.348000","203000000000014908","2016-06-21 08:17:04.355000","","0","4010","0","50","0","Tav on charge decrease","20077","Tav on charge decrease","2","15.00","1","S","937211565"<endrec>
"2001538","203000000000013818","2016-06-17 05:27:46.683000","TZS","1","2016-06-17 05:31:28.190000","2017-03-09 14:39:15.947000","203000000000016349","2017-03-09 14:39:15.948000","","0","4011","0","50","0","tax on charge percent increase","20078","tax on charge percent increase","1","15.00","1","S","937211566"<endrec>
"2001540","203000000000013818","2016-06-17 05:30:56.295000","TZS","1","2016-06-17 05:31:20.776000","2017-06-23 14:12:38.569000","203000000000016349","2017-06-23 14:12:38.570000","","0","4012","1","50","0","tax on charge fixed decrease","20079","tax on charge fixed decrease","2","2000","1","S","937211567"<endrec>
"2001541","203000000000013818","2016-06-17 05:32:43.273000","TZS","1","2016-06-17 05:33:03.306000","2099-12-31 23:59:59.000000","203000000000013818","2016-06-17 05:33:03.308000","","0","4013","1","30","0","tax on charge fixed increase","20080","tax on charge fixed increase","1","1800","1","S","937211568"<endrec>
"2001543","203000000000013818","2016-06-17 05:39:51.532000","TZS","1","2016-06-17 05:40:00.367000","2099-12-31 23:59:59.000000","203000000000013818","2016-06-17 05:40:00.370000","","2","4014","0","30","0","tax on chrage tier decrease fixed","20081","tax on chrage tier decrease fixed","2","","1","S","937211569"<endrec>
"2001542","203000000000013818","2016-06-17 05:43:08.228000","TZS","1","2016-06-17 05:43:16.942000","2018-02-14 06:03:42.443000","203000000000014912","2018-02-14 06:03:42.444000","","2","4015","0","50","0","tax on charge tier increase percent","20082","tax on charge tier increase percent","1","","1","S","937211570"<endrec>
"2001544","203000000000013818","2016-06-17 05:45:44.221000","TZS","1","2016-06-17 05:46:26.533000","2017-03-09 14:58:06.070000","203000000000016349","2017-03-09 14:58:06.072000","","2","4016","0","50","0","tax on charge tier increase mix","20083","tax on charge tier increase mix","1","","1","S","937211571"<endrec>
"2001539","203000000000014908","2016-06-21 08:16:54.649000","TZS","1","2016-06-21 08:17:04.348000","2016-06-21 09:19:08.376000","203000000000014908","2016-06-21 09:19:08.379000","","0","5006","0","50","0","Tav on charge decrease","20077","Tav on charge decrease","2","0","1","S","937213600"<endrec>
"2001539","203000000000014908","2016-06-21 09:18:58.390000","TZS","1","2016-06-21 09:19:08.376000","2099-12-31 23:59:59.000000","203000000000014908","2016-06-21 09:19:08.385000","","0","5011","0","30","0","Tav on charge decrease","20077","Tav on charge decrease","2","15","1","S","937213607"<endrec>
"2001552","203000000000014908","2016-06-21 09:31:34.398000","TZS","1","2016-06-21 09:31:45.535000","2099-12-31 23:59:59.000000","203000000000014908","2016-06-21 09:31:45.541000","","0","0","0","30","0","","20091","Tax Test Increase Code","1","15","1","S","937213610"<endrec>
