CREDIT_MESSAGE,DEBIT_MESSAGE,REASON_TYPE,TAX_CHARGETYPE_ID,TAX_CHARGE_UNIQUE_ID,TAX_PAYER_ACCOUNT,TAX_PAYER_IDENTITY_TYPE,TAX_RECEIVER_ACCOUNT,TAX_RECEIVER_IDENTITY_TYPE,TRANSACTION_TYPE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              <endrec>
"","","10000018","0","937217590","10024","1004","10011","1005","20004"<endrec>
"","","10000018","0","937278838","10024","1004","10011","1005","20004"<endrec>
"","","10000018","0","937278840","10024","1004","10011","1005","20004"<endrec>
"","","10000018","0","937283820","10024","1004","10011","1005","20004"<endrec>
"","","10000018","0","937283826","10024","1004","10011","1005","20004"<endrec>
"","","10000018","0","937378482","10024","1004","10011","1005","20004"<endrec>
"","","10000018","0","937389575","10024","1004","10011","1005","20004"<endrec>
"","","10000018","0","937389576","10024","1004","10011","1005","20004"<endrec>
"","","10000018","0","937423192","10024","1004","10011","1005","20004"<endrec>
"","","10000018","0","937423196","10024","1004","10011","1005","20004"<endrec>
"","","10000018","0","937468626","10024","1004","10011","1005","20004"<endrec>
"","","10000018","0","937502732","10013","1004","10011","1005","20004"<endrec>
"","","10000018","0","937512845","10024","1004","10011","1005","20004"<endrec>
"","","10000018","0","937512920","10024","1004","10011","1005","20004"<endrec>
"","","10000018","0","937512922","10024","1004","10011","1005","20004"<endrec>
"","","10000018","0","937539892","10024","1004","10011","1005","20004"<endrec>
"","","10000018","0","937545742","10024","1004","10011","1005","20004"<endrec>
"","","10000018","0","937547748","10024","1004","10011","1005","20004"<endrec>
"{ChargeReceiver} decerase test","{ChargePayer} decerase test","10000018","44215","937512801","10013","1009","10023","1005","20004"<endrec>
"{SP}","{DebitParty}","10000051","0","937212544","10011","1003","10033","1005","20006"<endrec>
"Tax Payment","Tax Payment","10000051","0","937212552","10011","1003","10033","1005","20006"<endrec>
"test","test","10000051","0","937213550","10011","1003","10033","1005","20006"<endrec>
"tax on principle fixed increase","tax on principle fixed increase","10000051","0","937213565","10011","1003","10033","1005","20006"<endrec>
"tax on principle fixed decrease","tax on principle fixed decrease","10000051","0","937213567","10011","1003","10033","1005","20006"<endrec>
"Tax on principle","Tax on principle","10000051","0","937213574","10011","1003","10033","1005","20006"<endrec>
"tax on principle tier decrease","tax on principle tier decrease","10000051","0","937213577","10011","1003","10033","1005","20006"<endrec>
"tax on principle tier increase percent","tax on principle tier increase percent","10000051","0","937213592","10011","1003","10033","1005","20006"<endrec>
"Interest Payment","Interest Payment","10000051","0","937213594","10011","1003","10033","1005","20006"<endrec>
"Tax paid by {DebitParty}","Tax paid by {DebitParty}","10000051","0","937213608","10011","1004","10033","1005","20006"<endrec>
"Tac Received By {SP}","Tax Paid By {CreditParty}","10000051","0","937213615","10011","1003","10033","1005","20006"<endrec>
"Tax Paid by {DebitParty}","Tax Paid by {DebitParty}","10000051","0","937214574","10011","1004","10033","1005","20006"<endrec>
"TAX Exemption","TAX Exemption","10000051","0","937214645","10011","1003","10033","1005","20006"<endrec>
"Tax Paid by {DebitParty}","Tax Paid by {DebitParty}","10000051","0","937215597","10011","1004","10033","1005","20006"<endrec>
