CONVERSION_METHOD,PRIORITY,SOURCE_PREFIX,TARGET_NUMBER_FORMAT,TARGET_PREFIX                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             <endrec>
"1","0","+2547","2","2547"<endrec>
"1","0","+44","1","44"<endrec>
"0","0","+444","2","321"<endrec>
"0","0","034","2","87580"<endrec>
"0","0","059","2","03136"<endrec>
"1","0","07","2","2547"<endrec>
"0","0","2","2","95301"<endrec>
"0","0","254","2","254"<endrec>
"0","0","3","2","84559"<endrec>
"0","0","355","2","355"<endrec>
"0","0","4","2","00650"<endrec>
"0","0","40","2","40"<endrec>
"0","0","5","2","06172"<endrec>
"0","0","7","2","71149"<endrec>
"0","0","8","2","54742"<endrec>
"0","0","9","2","88519"<endrec>
