ALLOW_EMPTY,DEFAULT_VALUE,DESCRIPTION,ELEMENT_ID,ELEMENT_NAME,ELEMENT_TYPE,MAX_TIMES,MIN_TIMES,ORDERID,PARENT_ID,REQUIRED,TEMPLATE_ID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   <endrec>
"Y","","BulkUpdateKYCForCustomerRequest","1","BulkUpdateKYCForCustomerRequest","1","","","1","-1","N","1"<endrec>
"Y","","MultipleKYC","10","MultipleKYC","1","","","3","2","N","1"<endrec>
"N","","testing","100000931","bulk","1","","","1","-1","N","100000951"<endrec>
"Y","Add","OperationType","17","OperationType","0","","","1","10","N","1"<endrec>
"Y","","Customer","2","Customer","1","","","1","1","Y","1"<endrec>
"Y","","KYC","25","KYC","1","","","3","10","N","1"<endrec>
"Y","","FieldType","27","FieldType","0","","","1","25","N","1"<endrec>
"Y","","FieldValue","29","FieldValue","0","","","2","25","N","1"<endrec>
"Y","","MSISDN","3","MSISDN","0","","","1","2","Y","1"<endrec>
"Y","","SimpleKYC","4","SimpleKYC","1","","","2","2","Y","1"<endrec>
"Y","","KYC","5","KYC","1","","","1","4","N","1"<endrec>
"Y","","MultipleKYC","52","MultipleKYC","1","","","4","2","N","1"<endrec>
"Y","Modify","OperationType","53","OperationType","0","","","1","52","N","1"<endrec>
"Y","","RecordIdentifier","54","RecordIdentifier","1","","","2","52","N","1"<endrec>
"Y","","FieldType","55","FieldType","0","","","1","54","N","1"<endrec>
"Y","","FieldValue","56","FieldValue","0","","","2","54","N","1"<endrec>
"Y","","KYC","57","KYC","1","","","3","52","N","1"<endrec>
"Y","","FieldType","58","FieldType","0","","","1","57","N","1"<endrec>
"Y","","FieldValue","59","FieldValue","0","","","2","57","N","1"<endrec>
"Y","","FieldType","6","FieldType","0","","","1","5","N","1"<endrec>
"Y","","MultipleKYC","71","MultipleKYC","1","","","5","2","N","1"<endrec>
"Y","Delete","OperationType","72","OperationType","0","","","1","71","N","1"<endrec>
"Y","","RecordIdentifier","73","RecordIdentifier","1","","","2","71","N","1"<endrec>
"Y","","FieldType","74","FieldType","0","","","1","73","N","1"<endrec>
"Y","","FieldValue","75","FieldValue","0","","","2","73","N","1"<endrec>
"Y","","BulkPaymentRequest","76","BulkPaymentRequest","1","","","1","-1","N","12"<endrec>
"Y","","Customer","77","Customer","1","","","1","76","Y","12"<endrec>
"Y","","Identifier","78","Identifier","1","","","1","77","Y","12"<endrec>
"Y","","KYCValidation","79","KYCValidation","1","","","2","77","Y","12"<endrec>
"Y","","FieldValue","8","FieldValue","0","","","2","5","N","1"<endrec>
"Y","","IdentifierType","80","IdentifierType","0","","","1","78","Y","12"<endrec>
"Y","","IdentifierValue","81","IdentifierValue","0","","","2","78","Y","12"<endrec>
"Y","","FieldType","82","FieldType","0","","","1","79","Y","12"<endrec>
"Y","","FieldValue","83","FieldValue","0","","","2","79","Y","12"<endrec>
"Y","","Amount","84","Amount","1","","","3","77","Y","12"<endrec>
"Y","","Comment","85","Comment","1","","","4","77","Y","12"<endrec>
"Y","","Value","86","Value","0","","","1","84","Y","12"<endrec>
"Y","","Value","87","Value","0","","","1","85","Y","12"<endrec>
