POLICY_ID,RECEIVER_ID,ROUTING_TYPE,STATUS,TEP_POLICY_UNIQUE_ID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          <endrec>
"2001","10001","2","A","937167337"<endrec>
"3001","10001","1","A","937178522"<endrec>
"3001","10001","2","A","937178550"<endrec>
"3002","10001","2","A","937178553"<endrec>
"2001","10001","2","A","937178563"<endrec>
"3003","10001","1","A","937178583"<endrec>
"2001","10001","2","A","937178637"<endrec>
"2001","10001","2","A","937182483"<endrec>
"4006","10001","2","A","937182520"<endrec>
"2001","10001","2","A","937182531"<endrec>
"4001","10001","2","A","937188535"<endrec>
"3001","10101","1","A","937178522"<endrec>
"3001","10101","1","A","937178528"<endrec>
"3001","10101","2","A","937178552"<endrec>
"3003","10101","1","A","937178577"<endrec>
"3001","10101","2","A","937178579"<endrec>
"3003","10101","1","A","937178582"<endrec>
"3003","10101","1","A","937178583"<endrec>
"3003","10101","2","A","937178584"<endrec>
"3003","10101","2","A","937182475"<endrec>
"4001","10101","2","A","937182479"<endrec>
"12002","10101","2","A","937254905"<endrec>
"12002","10101","2","A","937254913"<endrec>
"12002","10101","2","B","937254920"<endrec>
"12002","10101","2","A","937258721"<endrec>
"12002","10101","2","A","937265773"<endrec>
"3001","10101","2","A","937273819"<endrec>
"15001","10101","6","A","937279986"<endrec>
"4002","10101","1","A","937445269"<endrec>
"4002","10201","1","A","937182492"<endrec>
"4002","10201","1","A","937182496"<endrec>
"4002","10201","1","A","937182502"<endrec>
"4005","10201","1","B","937182506"<endrec>
"4006","10201","1","A","937182517"<endrec>
"5001","10201","1","B","937187535"<endrec>
"3002","10201","2","A","937210721"<endrec>
"3003","10201","2","A","937210722"<endrec>
"6001","10201","1","A","937210731"<endrec>
"4002","10201","1","A","937210732"<endrec>
"9001","10201","2","A","937250744"<endrec>
"10001","10201","2","A","937251690"<endrec>
"10003","10201","1","A","937251694"<endrec>
"13001","10201","1","A","937265756"<endrec>
"13001","10201","1","B","937265757"<endrec>
"13001","10201","1","B","937265758"<endrec>
"11001","10201","2","A","937265772"<endrec>
"11001","10201","2","B","937265780"<endrec>
"13001","10201","2","A","937265788"<endrec>
"13001","10201","2","A","937267816"<endrec>
"13001","10201","2","A","937267817"<endrec>
"14001","10201","5","A","937273820"<endrec>
"14001","10201","5","A","937273821"<endrec>
"14001","10201","5","A","937273824"<endrec>
"14001","10201","5","A","937273825"<endrec>
"3003","10201","2","A","937273828"<endrec>
"15001","10201","6","A","937275819"<endrec>
"15001","10201","6","A","937276818"<endrec>
"15002","10201","6","A","937329949"<endrec>
"15006","10201","6","A","937365124"<endrec>
"15007","10201","6","A","937365179"<endrec>
"15008","10201","6","A","937366304"<endrec>
"15009","10201","6","A","937404991"<endrec>
"6001","10201","1","A","937415113"<endrec>
"6001","10201","1","A","937415114"<endrec>
"15011","10201","3","A","937416078"<endrec>
"15011","10201","3","A","937416079"<endrec>
"15011","10201","3","A","937416080"<endrec>
"15012","10201","1","A","937417078"<endrec>
"15012","10201","1","A","937417079"<endrec>
"15012","10201","3","A","937417080"<endrec>
"15012","10201","4","A","937417081"<endrec>
"3003","10201","2","B","937418164"<endrec>
"15013","10201","6","A","937428168"<endrec>
"15014","10201","5","B","937432177"<endrec>
"15015","10201","1","B","937432182"<endrec>
"15016","10201","1","B","937433180"<endrec>
"15017","10201","1","B","937433181"<endrec>
"15016","10201","1","A","937433216"<endrec>
"4002","10201","1","A","937433222"<endrec>
"4002","10201","1","A","937433225"<endrec>
"15018","10201","1","B","937433226"<endrec>
"15019","10201","1","B","937445229"<endrec>
"15020","10201","1","B","937445230"<endrec>
"15019","10201","1","A","937445231"<endrec>
"15021","10201","1","B","937445232"<endrec>
"15022","10201","1","B","937445233"<endrec>
"15023","10201","1","B","937445266"<endrec>
"3001","10201","2","A","937445267"<endrec>
"15024","10201","1","B","937445271"<endrec>
"3002","10201","2","A","937462321"<endrec>
"15025","10201","2","A","937462360"<endrec>
"15030","10201","1","B","937474553"<endrec>
"15031","10201","1","B","937474554"<endrec>
"15031","10201","1","A","937474555"<endrec>
"15032","10201","1","B","937474556"<endrec>
"15032","10201","1","A","937474557"<endrec>
"15033","10201","1","B","937474598"<endrec>
"15034","10201","1","B","937474599"<endrec>
"15038","10201","1","B","937482538"<endrec>
"15039","10201","1","B","937487678"<endrec>
"15040","10201","1","B","937487682"<endrec>
"15039","10201","1","A","937487683"<endrec>
"15039","10201","1","A","937487685"<endrec>
"15041","10201","1","B","937487690"<endrec>
"15025","10201","2","A","937504733"<endrec>
"15043","10201","1","B","937509766"<endrec>
"15049","10201","1","B","937533755"<endrec>
"15050","10201","1","B","937533774"<endrec>
"15051","10201","1","B","937583867"<endrec>
"15052","10201","1","B","937583868"<endrec>
"15053","10201","1","B","937583869"<endrec>
"15054","10201","1","B","937583870"<endrec>
"15054","10201","1","A","937583871"<endrec>
"15055","10201","1","B","937583872"<endrec>
"15055","10201","1","A","937583873"<endrec>
"15056","10201","1","A","937583876"<endrec>
"15057","10201","1","B","937583932"<endrec>
"15058","10201","1","B","937598772"<endrec>
"15059","10201","1","B","937598773"<endrec>
"15060","10201","1","A","937604762"<endrec>
"15061","10201","1","B","937607775"<endrec>
"15025","10201","2","A","937611782"<endrec>
"15065","10201","1","B","937619790"<endrec>
"15066","10201","1","B","937619791"<endrec>
