COORDINATE,ORDER_ID,REGION_ID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           <endrec>
"90,90;100,90;80,90","1","001001001"<endrec>
"-8.2345,44.3435;23.1332,23.3435;23.23,33.45","1","001001002"<endrec>
"-8.2345,44.3435;23.1332,23.3435;23.23,33.45","1","003001001"<endrec>
"100,60;120,60;90,60","1","1000000000008031"<endrec>
"90,60;95,60;90,65","1","1000000000009030"<endrec>
"60,70;60,70;60,70","1","1000000000011033"<endrec>
"60,60;70,70;80,80","1","1000000000011034"<endrec>
"60,60;70,70;80,80","1","1000000000012030"<endrec>
"60,70;60,70;60,70","1","1000000000014030"<endrec>
"20,20;20,20;20,20","1","2000000000014039"<endrec>
"90,90;100,90;80,90","1","2000000000015036"<endrec>
"12,12;13,13;14,14|15,15;16,16;17,17","1","2000000000016034"<endrec>
