DIRECTION,FACTOR_CODE,FACTOR_VALUE,FACTOR_VALUE_SEQ,LOAD_DATA_TS,REASON_UNIQUE_ID,SERVICE_ROLE_TYPE,STATEMENT                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           <endrec>
"C","10000","5000","","","20271","2","Transfer from M-PESA Holding Account to Business Customer Working Account by {Initiator}"<endrec>
"C","10000","1000","","","20310","2",""<endrec>
"C","10000","-1","","","20371","3","Financial Reversal With Charge Reversed"<endrec>
"C","10000","1000","","","30003041","2",""<endrec>
"C","10000","5000","","","30003046","2",""<endrec>
"C","10000","5000","","","30003047","2",""<endrec>
"C","10000","1000","","","30003049","2",""<endrec>
"C","10000","8000","","","30003153","2","Archived Funds received from {DebitParty}"<endrec>
"C","10000","8000","","","30003166","2","MMF Organization settle V.A.T Account from Working Account"<endrec>
"C","10000","5000","","","30005067","2",""<endrec>
"C","10000","1000","","","30005068","2",""<endrec>
"C","10000","5000","","","30005069","2",""<endrec>
"C","10000","5000","","","30005070","2",""<endrec>
"C","10000","1000","","","30006000","2",""<endrec>
"C","10000","1000","","","30006001","2",""<endrec>
"C","10000","5000","","","30007000","2",""<endrec>
"C","10000","1000","","","30007001","2",""<endrec>
"C","10000","1000","","","30007002","2",""<endrec>
"C","10000","5000","","","30010115","2",""<endrec>
"C","10000","5000","","","30010116","2",""<endrec>
"C","10000","8000","","","30013109","2","MMF Organisation Withdrawal from Control Account by {Initiator}"<endrec>
"C","10000","8000","","","30013112","2","MMF Organisation Paying Withholding Tax to Receiver"<endrec>
"C","10000","8000","","","30013116","2","Transfer from Unclaimed Funds to MMF Organisation by {Initiator}"<endrec>
"C","10000","5000","","","30013123","2","MSP Organisation Transfer of Commission to MMF Account by {Initiator}"<endrec>
"C","10000","5000","","","30013125","3","Merchant Transfer from Merchant Account to Working Account via WEB by {Initiator}"<endrec>
"C","10000","1000","","","30013129","2","Transfer from Bank {DebitParty} to Customer via API"<endrec>
"C","10000","1000","","","30013171","2","Transfer From Bank from {DebitParty} to Customer via WEB by {Initiator}"<endrec>
"C","10000","5000","","","30013173","2","Commission Roll Up From {DebitParty}"<endrec>
"C","10000","5000","","","30013176","3","Transfer Of Funds From Commission Held Account To Commission Payable Account"<endrec>
"C","10000","8000","","","30013189","2","Transfer from Archived Funds to Unclaimed Funds"<endrec>
"C","10000","1000","","","30013194","2","Promotion Payment from {DebitParty} via WEB by {Initiator}"<endrec>
"C","10000","1000","","","30013200","2","Promotion Payment from {DebitParty} via API"<endrec>
"C","10000","1000","","","30013213","2","Salary Payment with Withdraw Charge from {CreditParty} WEB by {Initiator}"<endrec>
"C","10000","-1","","","30013224","2","Journal Entry by {Initiator}"<endrec>
"C","10000","8000","","","30013225","2","Control Account Transfer by {Initiator}"<endrec>
"C","10000","5000","","","30013228","2","Business Withdrawal of Funds via Web by {Initiator}"<endrec>
"C","10000","5000","","","30013230","2","Business Withdrawal of Funds within Hierarchy via Web by {Initiator}"<endrec>
"C","10000","5000","","","30015237","2","Business Transfer from Financial Services Account to MMF Account by {Initiator}"<endrec>
"C","10000","5000","","","30015238","2","Business Transfer from MMF Account to Financial Services Account by {Initiator}"<endrec>
"C","10000","1000","","","30015253","2","Business Payment with Withdraw Charge from {DebitParty}"<endrec>
"C","10000","1000","","","30015301","2","Business Payment with Withdraw Charge from {DebitParty} via WEB by {Initiator}"<endrec>
"C","10000","1000","","","30015552","2",""<endrec>
"C","10000","5000","","","30015557","2",""<endrec>
"C","10000","8000","","","30015620","2","MMF Customer Payment to MMF Organisation by {Initiator}"<endrec>
"C","10000","5000","","","30015627","2",""<endrec>
"C","10000","1000","","","30015661","2","Promotion Payment from {DebitParty}"<endrec>
"C","10000","1000","","","30015662","2","Promotion Payment from {DebitParty} via API"<endrec>
"C","10000","8000","","","30015667","2","Transfer to Archived Funds Holding Account from Recycled Customer"<endrec>
"C","10000","1000","","","30015684","2","Business Payment with Withdraw Charge from {DebitParty}"<endrec>
"C","10000","1000","","","30015688","2","Customer Transfer via WEB by {Initiator}"<endrec>
"C","10000","5000","","","30015691","2","Merchant Payment from {DebitParty} via Web by {Initiator}"<endrec>
"C","10000","1000","","","30015703","2","Transfer from Bank {DebitParty} to Unregistered User via API"<endrec>
"C","10000","8000","","","30015712","3","Business Customer Payment to MMF Organisation by {Initiator}"<endrec>
"C","10000","1000","","","30027239","2","Promotion Payment from {DebitParty} via WEB by {Initiator}"<endrec>
"C","10000","8000","","","30033239","2","Transfer from Withdrawal Holding Account to M-PESA Control Account"<endrec>
"C","10000","5000","","","30040240","2","Business Deposit of Funds from {DebitParty} via Web by {Initiator}"<endrec>
"C","10000","5000","","","30040242","2","Commission Roll Up From {DebitParty}"<endrec>
"C","10000","1000","","","30046245","2",""<endrec>
"C","10000","5000","","","30047242","3","Give Cash at Agent Store via Web by {Initiator}"<endrec>
"C","10000","5000","","","30048247","2","Business Transfer from MMF Account to Utility Account via WEB by {Initiator}"<endrec>
"C","10000","5000","","","30048248","2","Funds Transfer from Utility Account to Working Account"<endrec>
"C","10000","5000","","","30054245","2",""<endrec>
"C","10000","-1","","","30055262","3","B2C Reversal by {Initiator}"<endrec>
"C","10000","-1","","","30055266","3","B2C reversal Unregistered  by {Initiator}"<endrec>
"C","10000","8000","","","30055271","2","Reverse Liable Commission - Unregistered Upgrade"<endrec>
"C","10000","1000","","","30055278","2","Funds received from Business {DebitParty}"<endrec>
"C","10000","1000","","","30055279","2","Business Payment from {DebitParty} via WEB by {Initiator}"<endrec>
"C","10000","5000","","","30055280","2",""<endrec>
