ALIAS,ALLOW_SAME_IDENTITY,CANBE_REVERSED,CAN_PARTIAL_REVERSE,CREATE_OPER_ID,CREATE_OPER_TIME,CREDIT_IDENTITY_TYPE,DEBIT_IDENTITY_TYPE,DESCRIPTION,FINANCIAL_CATEGORY,IS_BULK,IS_INTRA,IS_REVERSAL,IS_SUPPERTXN,LAST_OPER_ID,LAST_OPER_TIME,LOAD_DATA_TS,SERVICE_CATEGORY,STATUS,TXN_INDEX,TXN_TYPE_NAME,UNIQUE_ID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       <endrec>
"Organization Internal Transfer","1","1","0","203000000000010002","2014-03-10 14:29:51.219000","5000","5000","Organization Internal Transfer","1","false","false","0","0","203000000000010002","2014-03-10 14:48:22.242000","","","50","20001","Organization Internal Transfer","20009"<endrec>
"Organization Internal Transfer","1","1","0","203000000000010002","2014-03-10 14:47:02.716000","5000","5000","Agency Intra Account Transfer","1","false","false","0","0","203000000000010002","2014-03-18 11:20:20.616000","","","50","20001","Organization Internal Transfer","20010"<endrec>
"Organization To Organization Transfer","0","1","0","203000000000010002","2014-03-10 15:21:45.131000","5000","5000","Organization To Organization Transfer","1","false","false","0","0","203000000000010002","2014-03-13 17:53:03.493000","","","50","20003","Organization To Organization Transfer","20015"<endrec>
"B2C Payment","0","1","0","203000000000010002","2014-03-10 17:30:40.940000","1000","5000","B2C Payment","1","true","false","0","0","203000000000010164","2014-11-26 13:36:28.207000","","","50","20004","B2C Payment","20037"<endrec>
"B2C Payment Reversal","0","0","1","203000000000010002","2014-03-11 16:14:51.892000","5000","1000","B2C Payment Reversal","1","false","false","1","0","203000000000010002","2014-04-14 10:38:38.448000","","","50","20005","B2C Payment Reversal","20083"<endrec>
"Cash In","0","1","0","203000000000010002","2014-03-12 14:53:32.223000","1000","5000","Cash In","1","false","false","0","0","203000000000010164","2014-12-02 10:48:22.713000","","","50","20006","Cash In","20101"<endrec>
"Payment From Customer To Service Provider","0","1","0","203000000000010002","2014-03-12 20:07:36.180000","8000","1000","Payment From Customer To Service Provider","1","false","false","0","0","203000000000014908","2016-05-27 04:58:24.341000","","","50","20007","Payment From Customer To Service Provider","20117"<endrec>
"Cash Out","0","1","0","203000000000010002","2014-03-13 11:10:52.947000","5000","1000|7000","Cash Out","1","true","false","0","0","203000000000022402","2017-08-07 04:31:03.405000","","BS.DepositWithdraw","50","20008","Cash Out","20123"<endrec>
"Pay Bill","0","1","0","203000000000010002","2014-03-13 11:11:51.332000","5000","1000","Pay Bill","1","true","false","0","0","203000000000010811","2017-08-28 11:28:12.363000","","BS.Paybill","50","20009","Pay Bill","20124"<endrec>
"Customer Merchant Payment","0","1","0","203000000000010002","2014-03-13 14:51:05.892000","5000","1000","Customer Merchant Payment","1","false","false","0","0","203000000000014909","2017-08-08 07:35:01.829000","","","50","20010","Customer Merchant Payment","20128"<endrec>
"Organization To Organization Transfer","0","1","0","203000000000010002","2014-03-13 17:52:52.966000","8000|5000","5000","Organization To Organization Transfer","1","false","false","0","0","203000000000010002","2014-03-18 11:20:00.148000","","","50","20003","Organization To Organization Transfer","20139"<endrec>
"Business Withdrawal","0","1","0","203000000000010002","2014-03-13 18:49:45.691000","8000","5000","Business Withdrawal","1","false","false","0","0","203000000000010036","2014-07-07 16:59:00.181000","","","50","20013","Business Withdrawal","20149"<endrec>
"Commission Roll Up","0","0","0","203000000000010002","2014-03-13 19:18:05.234000","5000","5000","Commission Roll Up","1","false","false","0","0","203000000000010002","2014-03-21 11:52:16.164000","","","50","20014","Commission Roll Up","20154"<endrec>
"Business Deposit","0","0","0","203000000000010002","2014-03-13 19:24:14.515000","5000","8000","Business Deposit","1","false","false","0","0","203000000000010036","2014-07-07 16:59:00.738000","","","50","20015","Business Deposit","20156"<endrec>
"Commission Clawback Reversal","0","0","0","203000000000010002","2014-03-14 17:29:29.846000","5000","8000","Commission Clawback Reversal","1","false","false","1","0","203000000000010002","2014-03-21 11:54:16.730000","","","50","20017","Commission Clawback Reversal","20181"<endrec>
"Customer Airtime Purchase","0","0","0","203000000000010002","2014-03-17 14:38:20.723000","5000","1000","Customer Airtime Purchase","1","false","false","0","0","203000000000010809","2015-12-04 17:59:51.496000","","","50","20018","Customer Airtime Purchase","20200"<endrec>
"Send Money Reversal","0","0","0","203000000000010002","2014-03-18 10:09:23.481000","1000","1000","Send Money Reversal","1","false","false","1","0","203000000000010806","2016-09-09 14:33:59.340000","","","50","20019","Send Money Reversal","20218"<endrec>
"Send Money","0","1","0","203000000000010002","2014-03-18 10:22:51.439000","1000","1000","Customer transfer of funds to another customer.","1","false","false","0","0","203000000000010809","2015-10-05 18:16:14.435000","","","50","20020","Send Money","20220"<endrec>
"Organization To Organization Transfer","0","1","0","203000000000010002","2014-03-18 11:19:49.380000","8000|5000","8000|5000","Organization To Organization Transfer","1","false","false","0","0","203000000000010002","2014-03-21 11:36:34.015000","","","50","20003","Organization To Organization Transfer","20229"<endrec>
"Organization Internal Transfer","1","1","0","203000000000010002","2014-03-18 11:20:12.086000","8000|5000","8000|5000","Agency Intra Account Transfer","1","false","false","0","0","203000000000010002","2014-03-21 11:37:00.326000","","","50","20001","Organization Internal Transfer","20230"<endrec>
"Organization Payment To Customer","0","1","0","203000000000010002","2014-03-18 11:37:47.447000","1000","8000","Organization Payment To Customer","1","false","false","0","0","203000000000010005","2014-03-24 06:32:56.189000","","","50","20022","Organization Payment To Customer","20233"<endrec>
"Transfer to M-PESA Control Account","1","1","0","203000000000010002","2014-03-18 15:20:37.657000","8000","8000","Transfer from Withdrawals Holding Account to Control Account","1","false","false","0","0","203000000000010002","2014-03-18 15:20:42.247000","","","30","20023","Transfer to M-PESA Control Account","20250"<endrec>
"Transaction Reversal","0","0","0","203000000000010002","2014-03-21 10:58:37.249000","8000|1000|5000","8000|1000|5000","Transaction Reversal","1","false","false","1","0","203000000000010005","2014-03-25 08:05:13.986000","","","50","20027","Transaction Reversal","20362"<endrec>
"Organisation To Organisation Transfer","0","1","0","203000000000010002","2014-03-21 11:36:24.996000","8000|5000","8000|5000","Organisation To Organisation Transfer","1","false","false","0","0","203000000000014911","2017-02-06 15:00:13.431000","","","50","20003","Organisation To Organisation Transfer","20363"<endrec>
