ACCOUNT_RULE_PROFILE_ID,ACCOUNT_TYPE,TRUST_LEVEL_ID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     <endrec>
"1012","10013","810083"<endrec>
"1013","10013","810083"<endrec>
"1014","10013","810083"<endrec>
"1015","10013","810083"<endrec>
"1016","10013","810083"<endrec>
"1017","10013","810083"<endrec>
"1018","10011","810051"<endrec>
"1018","10011","810072"<endrec>
"1022","10015","810051"<endrec>
"1022","10015","810072"<endrec>
"1025","10022","810041"<endrec>
"1025","10022","810051"<endrec>
"1025","10022","810062"<endrec>
"1025","10022","810072"<endrec>
"1025","10022","810083"<endrec>
"13034","10136","810041"<endrec>
"13034","10136","810062"<endrec>
"13034","10136","810083"<endrec>
"13035","10140","810041"<endrec>
"13035","10140","810062"<endrec>
"13035","10140","810083"<endrec>
"13036","10017","810041"<endrec>
"13036","10017","810051"<endrec>
"13036","10017","810062"<endrec>
"13036","10017","810072"<endrec>
"13036","10017","810083"<endrec>
"13037","10138","810041"<endrec>
"13037","10138","810062"<endrec>
"13037","10138","810083"<endrec>
"13038","10139","810041"<endrec>
"13038","10139","810062"<endrec>
"13038","10139","810083"<endrec>
"13039","10137","810041"<endrec>
"13039","10137","810062"<endrec>
"13039","10137","810083"<endrec>
"15043","10015","810051"<endrec>
"15043","10015","810072"<endrec>
"15045","10011","810072"<endrec>
"16","10013","810083"<endrec>
"16046","10013","810041"<endrec>
"16046","10013","810051"<endrec>
"16046","10013","810083"<endrec>
"16050","10011","810011"<endrec>
"16051","10011","810021"<endrec>
"16052","10011","810031"<endrec>
"17053","10013","810041"<endrec>
"17053","10013","810051"<endrec>
"17053","10013","810062"<endrec>
"17053","10013","810072"<endrec>
"17053","10013","810083"<endrec>
"17054","10013","810041"<endrec>
"17054","10013","810051"<endrec>
"17054","10013","810062"<endrec>
"17054","10013","810072"<endrec>
"17054","10013","810083"<endrec>
"17055","10013","810041"<endrec>
"17055","10013","810051"<endrec>
"17055","10013","810062"<endrec>
"17055","10013","810072"<endrec>
"17055","10013","810083"<endrec>
"17056","10013","810041"<endrec>
"17056","10013","810051"<endrec>
"17056","10013","810062"<endrec>
"17056","10013","810072"<endrec>
"17056","10013","810083"<endrec>
"17057","10013","810041"<endrec>
"17057","10013","810051"<endrec>
"17057","10013","810062"<endrec>
"17057","10013","810072"<endrec>
"17057","10013","810083"<endrec>
"17058","10013","810041"<endrec>
"17058","10013","810051"<endrec>
"17058","10013","810062"<endrec>
"17058","10013","810072"<endrec>
"17058","10013","810083"<endrec>
"17059","10013","810041"<endrec>
"17059","10013","810051"<endrec>
"17059","10013","810062"<endrec>
"17059","10013","810072"<endrec>
"17059","10013","810083"<endrec>
"18","10013","810083"<endrec>
"18060","10013","810041"<endrec>
"18060","10013","810051"<endrec>
"18060","10013","810072"<endrec>
"18061","10013","810041"<endrec>
"18061","10013","810051"<endrec>
"18061","10013","810072"<endrec>
"18066","10011","810041"<endrec>
"18066","10011","810062"<endrec>
"18066","10011","810083"<endrec>
"19060","10015","810041"<endrec>
"19060","10015","810062"<endrec>
"19060","10015","810083"<endrec>
"19061","10015","810062"<endrec>
"19061","10015","810083"<endrec>
"20061","10015","810083"<endrec>
"20063","10011","810041"<endrec>
"20063","10011","810062"<endrec>
"20063","10011","810083"<endrec>
"20064","10013","810041"<endrec>
"21066","21090","810011"<endrec>
"21066","21090","810021"<endrec>
"21066","21090","810031"<endrec>
"21066","21090","810242"<endrec>
"21066","21090","810452"<endrec>
"21066","21090","810542"<endrec>
"21067","10011","810242"<endrec>
"24069","10011","810342"<endrec>
"24069","10011","810442"<endrec>
"24070","10011","810452"<endrec>
"24070","10011","810542"<endrec>
"24073","21101","810342"<endrec>
"24073","21101","810442"<endrec>
"24074","10011","810342"<endrec>
"27078","10027","810041"<endrec>
"27078","10027","810051"<endrec>
"27078","10027","810062"<endrec>
"27078","10027","810072"<endrec>
"27078","10027","810083"<endrec>
"28078","10011","810031"<endrec>
"29082","21090","810242"<endrec>
"29082","21090","810452"<endrec>
"29096","21113","810442"<endrec>
"30098","21156","810041"<endrec>
"30098","21156","810062"<endrec>
"30098","21156","810083"<endrec>
"30099","21177","810041"<endrec>
"30099","21177","810062"<endrec>
"30099","21177","810083"<endrec>
"32101","21090","810011"<endrec>
"32101","21090","810021"<endrec>
"32101","21090","810031"<endrec>
"32101","21090","810242"<endrec>
"32101","21090","810452"<endrec>
"32101","21090","810542"<endrec>
"32103","21090","810542"<endrec>
"40116","21090","810542"<endrec>
"44146","21090","810542"<endrec>
"45156","21102","810342"<endrec>
"45156","21102","810442"<endrec>
"48145","21113","810342"<endrec>
"52169","21090","810242"<endrec>
"52169","21090","810452"<endrec>
"52170","21188","810011"<endrec>
"52170","21188","810021"<endrec>
"52170","21188","810031"<endrec>
"52170","21188","810242"<endrec>
"52170","21188","810452"<endrec>
"52170","21188","810542"<endrec>
"55172","10015","810041"<endrec>
"55172","10015","810062"<endrec>
"55172","10015","810083"<endrec>
"6018","10011","800000"<endrec>
"74176","10013","810041"<endrec>
"8026","10016","810041"<endrec>
"8026","10016","810051"<endrec>
"8026","10016","810062"<endrec>
"8026","10016","810072"<endrec>
"8026","10016","810083"<endrec>
"8028","10013","810051"<endrec>
"8028","10013","810062"<endrec>
"8028","10013","810072"<endrec>
"8028","10013","810083"<endrec>
