CHARGE_PROFILE_ID,PRODUCT_ID,TRUST_LEVEL_ID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             <endrec>
"20002","-1","800000"<endrec>
"20002","-1","810011"<endrec>
"20002","-1","810021"<endrec>
"20002","-1","810031"<endrec>
"20006","-1","810062"<endrec>
"20006","-1","810083"<endrec>
"20007","-1","810062"<endrec>
"20007","-1","810083"<endrec>
"20013","-1","810041"<endrec>
"20013","-1","810062"<endrec>
"20013","-1","810072"<endrec>
"20013","-1","810083"<endrec>
"20019","-1","810062"<endrec>
"20019","-1","810083"<endrec>
"20020","-1","810062"<endrec>
"20020","-1","810083"<endrec>
"20021","-1","810062"<endrec>
"20021","-1","810083"<endrec>
"20022","-1","810062"<endrec>
"20022","-1","810083"<endrec>
"20023","-1","810062"<endrec>
"20023","-1","810083"<endrec>
"20025","-1","810062"<endrec>
"20025","-1","810083"<endrec>
"20026","-1","810051"<endrec>
"20026","-1","810062"<endrec>
"20026","-1","810072"<endrec>
"20026","-1","810083"<endrec>
"20027","-1","810062"<endrec>
"20027","-1","810083"<endrec>
"20028","-1","810062"<endrec>
"20028","-1","810083"<endrec>
"20032","-1","810062"<endrec>
"20032","-1","810083"<endrec>
"20033","-1","810062"<endrec>
"20033","-1","810083"<endrec>
"20034","-1","810062"<endrec>
"20034","-1","810083"<endrec>
"20035","-1","810062"<endrec>
"20035","-1","810083"<endrec>
"20036","-1","810062"<endrec>
"20036","-1","810083"<endrec>
"20037","-1","810062"<endrec>
"20037","-1","810083"<endrec>
"20038","-1","810062"<endrec>
"20038","-1","810083"<endrec>
"20039","-1","810062"<endrec>
"20039","-1","810083"<endrec>
"20040","-1","810062"<endrec>
"20040","-1","810083"<endrec>
"20041","-1","810062"<endrec>
"20041","-1","810083"<endrec>
"20042","-1","810062"<endrec>
"20042","-1","810083"<endrec>
"20043","-1","810062"<endrec>
"20043","-1","810083"<endrec>
"20044","-1","810062"<endrec>
"20044","-1","810083"<endrec>
"20045","-1","810062"<endrec>
"20045","-1","810083"<endrec>
"20046","-1","810062"<endrec>
"20046","-1","810083"<endrec>
"20047","-1","810062"<endrec>
"20047","-1","810083"<endrec>
"20055","-1","810083"<endrec>
"20056","-1","810083"<endrec>
"20057","-1","810083"<endrec>
"20092","-1","810062"<endrec>
"20092","-1","810083"<endrec>
"20094","-1","810062"<endrec>
"20094","-1","810083"<endrec>
"20096","-1","810062"<endrec>
"20096","-1","810083"<endrec>
"20100","-1","810062"<endrec>
"20100","-1","810083"<endrec>
"20101","-1","810062"<endrec>
"20101","-1","810083"<endrec>
"20102","-1","810062"<endrec>
"20102","-1","810083"<endrec>
"20103","-1","810062"<endrec>
"20103","-1","810083"<endrec>
"20104","-1","810062"<endrec>
"20104","-1","810083"<endrec>
"20105","-1","810062"<endrec>
"20105","-1","810083"<endrec>
"20106","-1","810062"<endrec>
"20106","-1","810083"<endrec>
"20107","-1","810062"<endrec>
"20107","-1","810083"<endrec>
"20108","-1","810062"<endrec>
"20108","-1","810083"<endrec>
"20109","-1","810062"<endrec>
"20109","-1","810083"<endrec>
"20110","-1","810062"<endrec>
"20110","-1","810083"<endrec>
"20111","-1","810062"<endrec>
"20111","-1","810083"<endrec>
"20112","-1","810062"<endrec>
"20112","-1","810083"<endrec>
"20113","-1","810062"<endrec>
"20113","-1","810083"<endrec>
"20114","-1","810062"<endrec>
"20114","-1","810083"<endrec>
"20115","-1","810062"<endrec>
"20115","-1","810083"<endrec>
"20116","-1","810062"<endrec>
"20116","-1","810083"<endrec>
"20117","-1","810062"<endrec>
"20117","-1","810083"<endrec>
"20118","-1","810062"<endrec>
"20118","-1","810083"<endrec>
"20119","-1","810062"<endrec>
"20119","-1","810083"<endrec>
"20120","-1","810062"<endrec>
"20120","-1","810083"<endrec>
"20121","-1","810062"<endrec>
"20121","-1","810083"<endrec>
"20122","-1","810062"<endrec>
"20122","-1","810083"<endrec>
"20123","-1","810062"<endrec>
"20123","-1","810083"<endrec>
"20124","-1","810062"<endrec>
"20124","-1","810083"<endrec>
"20125","-1","810062"<endrec>
"20125","-1","810083"<endrec>
"20126","-1","810062"<endrec>
"20126","-1","810083"<endrec>
"20127","-1","810062"<endrec>
"20127","-1","810083"<endrec>
"20132","2","810011"<endrec>
"20132","2","810021"<endrec>
"20132","2","810031"<endrec>
"20132","2","810542"<endrec>
"20134","-1","810041"<endrec>
"20134","-1","810051"<endrec>
"20134","-1","810062"<endrec>
"20134","-1","810072"<endrec>
"20134","-1","810083"<endrec>
"20136","10","810041"<endrec>
"20136","10","810062"<endrec>
"20136","10","810072"<endrec>
"20136","10","810083"<endrec>
"20137","9","810041"<endrec>
"20137","9","810062"<endrec>
"20137","9","810083"<endrec>
"20139","8","810062"<endrec>
"20139","8","810083"<endrec>
"20154","6","810051"<endrec>
"20154","6","810072"<endrec>
"20155","11","810062"<endrec>
"20155","11","810083"<endrec>
"20164","-1","800000"<endrec>
"20164","-1","810242"<endrec>
"20164","-1","810452"<endrec>
"20164","-1","810542"<endrec>
"20174","10","810041"<endrec>
"20175","10","810041"<endrec>
"20184","9","810041"<endrec>
"20197","10","810062"<endrec>
"20197","10","810072"<endrec>
"20204","-1","810011"<endrec>
"20204","-1","810021"<endrec>
"20204","-1","810031"<endrec>
"20204","-1","810542"<endrec>
"20205","-1","810011"<endrec>
"20205","-1","810021"<endrec>
"20205","-1","810031"<endrec>
"20206","-1","810011"<endrec>
"20206","-1","810021"<endrec>
"20206","-1","810031"<endrec>
"20215","-1","810011"<endrec>
"20215","-1","810021"<endrec>
"20215","-1","810031"<endrec>
"20216","-1","810041"<endrec>
"20216","-1","810062"<endrec>
"20216","-1","810072"<endrec>
"20216","-1","810083"<endrec>
"20224","2","810011"<endrec>
"20224","2","810021"<endrec>
"20224","2","810542"<endrec>
"20234","9","810041"<endrec>
"20234","9","810062"<endrec>
"20234","9","810083"<endrec>
"20235","10000199","810011"<endrec>
"20235","10000199","810021"<endrec>
"20235","10000199","810031"<endrec>
"20236","10000200","810011"<endrec>
"20236","10000200","810021"<endrec>
"20236","10000200","810031"<endrec>
"20237","10000201","810011"<endrec>
"20237","10000201","810021"<endrec>
"20237","10000201","810031"<endrec>
"20238","10000202","810011"<endrec>
"20238","10000202","810021"<endrec>
"20238","10000202","810031"<endrec>
"20264","-1","810011"<endrec>
"20264","-1","810021"<endrec>
"20264","-1","810031"<endrec>
"20264","-1","810542"<endrec>
"20274","10000218","810342"<endrec>
"20274","10000218","810442"<endrec>
"20294","-1","810011"<endrec>
"20294","-1","810021"<endrec>
"20304","-1","810342"<endrec>
"20304","-1","810442"<endrec>
"20324","-1","810011"<endrec>
"20324","-1","810021"<endrec>
"20324","-1","810031"<endrec>
"20325","-1","810342"<endrec>
"20325","-1","810442"<endrec>
"20326","-1","810011"<endrec>
"20326","-1","810021"<endrec>
"20326","-1","810031"<endrec>
"20326","-1","810542"<endrec>
"20334","10000218","810342"<endrec>
"20344","-1","810041"<endrec>
"20344","-1","810083"<endrec>
"20345","-1","810011"<endrec>
"20345","-1","810021"<endrec>
"20345","-1","810031"<endrec>
"20364","2","810011"<endrec>
"20364","2","810021"<endrec>
"20364","2","810031"<endrec>
"20364","2","810542"<endrec>
"20384","-1","810041"<endrec>
"20384","-1","810062"<endrec>
"20384","-1","810083"<endrec>
"20404","10000203","810242"<endrec>
"20414","-1","810041"<endrec>
"20414","-1","810062"<endrec>
"20414","-1","810083"<endrec>
"20424","10","810062"<endrec>
"20544","-1","810041"<endrec>
"20544","-1","810062"<endrec>
"20544","-1","810083"<endrec>
"20554","-1","810083"<endrec>
"20594","-1","810041"<endrec>
"20594","-1","810062"<endrec>
"20594","-1","810083"<endrec>
"20614","-1","810041"<endrec>
"20615","-1","810011"<endrec>
"20615","-1","810021"<endrec>
"20615","-1","810031"<endrec>
"20615","-1","810542"<endrec>
"20644","2","810542"<endrec>
"20654","6","810051"<endrec>
"20654","6","810072"<endrec>
"20664","-1","810083"<endrec>
"20665","-1","810031"<endrec>
"20666","-1","810031"<endrec>
"20667","-1","810011"<endrec>
"20667","-1","810021"<endrec>
"20667","-1","810031"<endrec>
"20667","-1","810542"<endrec>
"20675","-1","810062"<endrec>
"20675","-1","810083"<endrec>
"20685","-1","810041"<endrec>
"20694","2","810031"<endrec>
"20694","2","810542"<endrec>
"20696","2","810021"<endrec>
"20696","2","810031"<endrec>
"20697","2","810031"<endrec>
"20704","2","810031"<endrec>
"20724","-1","810083"<endrec>
"20729","-1","810062"<endrec>
"20729","-1","810083"<endrec>
"20734","2","810031"<endrec>
"20744","-1","810083"<endrec>
"20754","-1","810062"<endrec>
"20754","-1","810083"<endrec>
"20764","2","810031"<endrec>
"20765","-1","810342"<endrec>
"20766","-1","810342"<endrec>
"20774","10001019","810041"<endrec>
"20774","10001019","810062"<endrec>
"20774","10001019","810083"<endrec>
"20775","10001018","810011"<endrec>
"20775","10001018","810021"<endrec>
"20775","10001018","810031"<endrec>
"20784","-1","810041"<endrec>
"20784","-1","810062"<endrec>
"20784","-1","810083"<endrec>
"20794","-1","810011"<endrec>
"20794","-1","810021"<endrec>
"20794","-1","810031"<endrec>
"20794","-1","810542"<endrec>
"20795","10001030","810041"<endrec>
"20795","10001030","810062"<endrec>
"20795","10001030","810083"<endrec>
"20804","-1","810041"<endrec>
"20804","-1","810062"<endrec>
"20804","-1","810083"<endrec>
"21144","10001030","810041"<endrec>
"21514","-1","810011"<endrec>
"21514","-1","810021"<endrec>
"21514","-1","810031"<endrec>
