CHARGE_PROFILE_ID,PRODUCT_ID,TRUST_LEVEL_ID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             <endrec>
"20002","-1","800000"<endrec>
"20002","-1","810011"<endrec>
"20002","-1","810021"<endrec>
"20002","-1","810031"<endrec>
"20134","-1","810041"<endrec>
"20134","-1","810051"<endrec>
"20754","-1","810062"<endrec>
"20134","-1","810072"<endrec>
"20754","-1","810083"<endrec>
"20164","-1","810242"<endrec>
"20304","-1","810342"<endrec>
"20325","-1","810442"<endrec>
"20164","-1","810452"<endrec>
"20204","-1","810542"<endrec>
"20136","10","810041"<endrec>
"20136","10","810062"<endrec>
"20136","10","810072"<endrec>
"20136","10","810083"<endrec>
"20235","10000199","810011"<endrec>
"20235","10000199","810021"<endrec>
"20235","10000199","810031"<endrec>
"20236","10000200","810011"<endrec>
"20236","10000200","810021"<endrec>
"20236","10000200","810031"<endrec>
"20237","10000201","810011"<endrec>
"20237","10000201","810021"<endrec>
"20237","10000201","810031"<endrec>
"20238","10000202","810011"<endrec>
"20238","10000202","810021"<endrec>
"20238","10000202","810031"<endrec>
"20404","10000203","810242"<endrec>
"20274","10000218","810342"<endrec>
"20274","10000218","810442"<endrec>
"20775","10001018","810011"<endrec>
"20775","10001018","810021"<endrec>
"20775","10001018","810031"<endrec>
"20774","10001019","810041"<endrec>
"20774","10001019","810062"<endrec>
"20774","10001019","810083"<endrec>
"20795","10001030","810041"<endrec>
"20795","10001030","810062"<endrec>
"20795","10001030","810083"<endrec>
"20155","11","810062"<endrec>
"20155","11","810083"<endrec>
"20132","2","810011"<endrec>
"20132","2","810021"<endrec>
"20764","2","810031"<endrec>
"20694","2","810542"<endrec>
"20654","6","810051"<endrec>
"20654","6","810072"<endrec>
"20139","8","810062"<endrec>
"20139","8","810083"<endrec>
"20184","9","810041"<endrec>
"20137","9","810062"<endrec>
"20137","9","810083"<endrec>
