IDENTITY_RULE_PROFILE_ID,TRUST_LEVEL_ID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 <endrec>
"16047","800000"<endrec>
"16047","810011"<endrec>
"16048","810021"<endrec>
"16049","810031"<endrec>
"20065","810041"<endrec>
"20065","810051"<endrec>
"20065","810062"<endrec>
"20065","810072"<endrec>
"20065","810083"<endrec>
"20060","810242"<endrec>
"22068","810342"<endrec>
"22068","810442"<endrec>
"12","810452"<endrec>
"12","810542"<endrec>
