KYC_FIELD_ID,KYC_GROUP_ID,TRUST_LEVEL_ID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                <endrec>
"1001","1001","810011"<endrec>
"1001","1001","810021"<endrec>
"1001","1001","810031"<endrec>
"1001","1001","810242"<endrec>
"1001","1001","810452"<endrec>
"1001","1001","810542"<endrec>
"1002","1001","810242"<endrec>
"1002","1001","810452"<endrec>
"1003","1001","810011"<endrec>
"1003","1001","810021"<endrec>
"1003","1001","810031"<endrec>
"1003","1001","810242"<endrec>
"1003","1001","810452"<endrec>
"1003","1001","810542"<endrec>
"1004","1001","810011"<endrec>
"1004","1001","810021"<endrec>
"1004","1001","810031"<endrec>
"1004","1001","810242"<endrec>
"1004","1001","810452"<endrec>
"1004","1001","810542"<endrec>
"1005","1002","810442"<endrec>
"102","100","810021"<endrec>
"102","100","810031"<endrec>
"102","100","810242"<endrec>
"102","100","810452"<endrec>
"103","100","810021"<endrec>
"103","100","810031"<endrec>
"103","100","810242"<endrec>
"103","100","810452"<endrec>
"106","100","810031"<endrec>
"110040","1003","810452"<endrec>
"111166","1001","810062"<endrec>
"111166","1001","810083"<endrec>
"202","200","810031"<endrec>
"203","200","810031"<endrec>
