CONTENT,ID,LANG,NAME                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    <endrec>
"ATM Deposit Voucher 1","0","en","CUSTOMER:ATM Deposit Voucher 1"<endrec>
"ATM Deposit Voucher 2","0","en","CUSTOMER:ATM Deposit Voucher 2"<endrec>
"Bank Account","0","en","CUSTOMER:Bank Account"<endrec>
"Create Bank Account","0","en","CUSTOMER:Bank Account/Create Bank Account"<endrec>
"Create Group Bank Account","0","en","CUSTOMER:Bank Account/Create Group Bank Account"<endrec>
"Delete Bank Account","0","en","CUSTOMER:Bank Account/Delete Bank Account"<endrec>
"Delete Group Bank Account","0","en","CUSTOMER:Bank Account/Delete Group Bank Account"<endrec>
"Online Cash In","0","en","CUSTOMER:Bank Account/Online Cash In"<endrec>
"Query Bank Account","0","en","CUSTOMER:Bank Account/Query Bank Account"<endrec>
"Query Group Bank Account","0","en","CUSTOMER:Bank Account/Query Group Bank Account"<endrec>
"Set Default Bank Account","0","en","CUSTOMER:Bank Account/Set Default Bank Account"<endrec>
"Set Default Group Bank Account","0","en","CUSTOMER:Bank Account/Set Default Group Bank Account"<endrec>
"Bank Card Lookup","0","en","CUSTOMER:Bank Card Lookup"<endrec>
"Create Bank Card Lookup","0","en","CUSTOMER:Bank Card Lookup/Create Bank Card Lookup"<endrec>
"Create Group Bank Card Lookup","0","en","CUSTOMER:Bank Card Lookup/Create Group Bank Card Lookup"<endrec>
"Delete Bank Card Lookup","0","en","CUSTOMER:Bank Card Lookup/Delete Bank Card Lookup"<endrec>
"Delete Group Bank Card Lookup","0","en","CUSTOMER:Bank Card Lookup/Delete Group Bank Card Lookup"<endrec>
"Query Bank Card Lookup","0","en","CUSTOMER:Bank Card Lookup/Query Bank Card Lookup"<endrec>
"Query Group Bank Card Lookup","0","en","CUSTOMER:Bank Card Lookup/Query Group Bank Card Lookup"<endrec>
"Bundle","0","en","CUSTOMER:Bundle"<endrec>
"Query My Bundle Details","0","en","CUSTOMER:Bundle/Query My Bundle Details"<endrec>
"Query My Bundle Details","0","en","CUSTOMER:Bundle/Query My Bundle Details/Query My Bundle Details"<endrec>
"Query My Group Bundle Details","0","en","CUSTOMER:Bundle/Query My Bundle Details/Query My Group Bundle Details"<endrec>
"Query My Bundles","0","en","CUSTOMER:Bundle/Query My Bundles"<endrec>
"Query My Group Bundles","0","en","CUSTOMER:Bundle/Query My Bundles/Query My Group Bundles"<endrec>
"Query My Own Bundles","0","en","CUSTOMER:Bundle/Query My Bundles/Query My Own Bundles"<endrec>
"Subscribe Bundle","0","en","CUSTOMER:Bundle/Subscribe Bundle"<endrec>
"Return Main Menu","0","en","CUSTOMER:Bundle/Subscribe Bundle/Return Main Menu"<endrec>
"Subscribe Customer Bundle","0","en","CUSTOMER:Bundle/Subscribe Bundle/Subscribe Customer Bundle"<endrec>
"Subscribe Group Bundle","0","en","CUSTOMER:Bundle/Subscribe Bundle/Subscribe Group Bundle"<endrec>
"View Bundle Details","0","en","CUSTOMER:Bundle/View Bundle Details"<endrec>
"View Bundle Details","0","en","CUSTOMER:Bundle/View Bundle Details/View Bundle Details"<endrec>
"View Customer Bundle Details","0","en","CUSTOMER:Bundle/View Bundle Details/View Customer Bundle Details"<endrec>
"View Group Bundle Details","0","en","CUSTOMER:Bundle/View Bundle Details/View Group Bundle Details"<endrec>
"View Bundles","0","en","CUSTOMER:Bundle/View Bundles"<endrec>
"View Customer Bundles","0","en","CUSTOMER:Bundle/View Bundles/View Customer Bundles"<endrec>
"View Group Bundles","0","en","CUSTOMER:Bundle/View Bundles/View Group Bundles"<endrec>
"Buy Airtime","0","en","CUSTOMER:Buy Airtime"<endrec>
"My phone","0","en","CUSTOMER:Buy Airtime/My phone"<endrec>
"Other phone","0","en","CUSTOMER:Buy Airtime/Other phone"<endrec>
"Buy Goods With Prevalidation","0","en","CUSTOMER:Buy Goods/Buy Goods With Prevalidation"<endrec>
"CEB Pay bill via m-pesa","0","en","CUSTOMER:CEB Pay bill via m-pesa"<endrec>
"CNS","0","en","CUSTOMER:CNS"<endrec>
"Allow My name be searched","0","en","CUSTOMER:CNS/Allow My name be searched"<endrec>
"Disable CNS","0","en","CUSTOMER:CNS/Disable CNS"<endrec>
"Enable CNS","0","en","CUSTOMER:CNS/Enable CNS"<endrec>
"Not allow My name be searched","0","en","CUSTOMER:CNS/Not allow My name be searched"<endrec>
"Card Actions","0","en","CUSTOMER:Card Actions"<endrec>
"Activate Card","0","en","CUSTOMER:Card Actions/Activate Card"<endrec>
"Customer Activate Card","0","en","CUSTOMER:Card Actions/Activate Card/Customer Activate Card"<endrec>
"Group Activate Card","0","en","CUSTOMER:Card Actions/Activate Card/Group Activate Card"<endrec>
"Cancel Card","0","en","CUSTOMER:Card Actions/Cancel Card"<endrec>
"Customer Cancel Card","0","en","CUSTOMER:Card Actions/Cancel Card/Customer Cancel Card"<endrec>
"Group Cancel Card","0","en","CUSTOMER:Card Actions/Cancel Card/Group Cancel Card"<endrec>
"Register Card","0","en","CUSTOMER:Card Actions/Register Card"<endrec>
"Customer Register Card","0","en","CUSTOMER:Card Actions/Register Card/Customer Register Card"<endrec>
"Group Register Card","0","en","CUSTOMER:Card Actions/Register Card/Group Register Card"<endrec>
"Request Buy Goods Card Voucher","0","en","CUSTOMER:Card Actions/Request Buy Goods Card Voucher"<endrec>
"Change Customer QA","0","en","CUSTOMER:Change Customer QA"<endrec>
