ALIAS,CATEGORY_CODE,DISPLAY_LEVEL,DISPLAY_ORDER,ID,IS_ENABLE,LINKED_SERVICE_CODE,PARENT_ID,REQUEST_TEXT,SERVICE_CODE,STK_TRANSACTION_TYPE,USSD_CMD,USSD_PROCESS_ID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      <endrec>
"Reminder","CUSTOMER","1","17","1000","1","","-1","21","-1","","","-1"<endrec>
"Customer Intra_Account Transfer","CUSTOMER","1","46","10002","1","-1","-1","19","-1","","","0"<endrec>
"Create Reminder Schedule","CUSTOMER","2","1","1001","1","","1000","1","-1","","","-1"<endrec>
"View Reminder Schedules","CUSTOMER","2","2","1002","1","","1000","2","View Customer Reminder Schedules","","","1311"<endrec>
"Cancel Reminder Schedule","CUSTOMER","2","3","1003","1","","1000","3","DeleteIndividualReminderScheduleRequest","","","1312"<endrec>
"Send Money","CUSTOMER","3","1","1004","1","Send Money","1001","1","Create Customer Reminder Schedule","","","1300"<endrec>
"Initiate Customer Transaction by Reminder","CUSTOMER","2","4","1005","1","","1000","4","Initiate Customer Transaction by Reminder","","","1313"<endrec>
"View Reminder Schedule Details","CUSTOMER","2","5","1006","0","","1000","5","View Customer Reminder Schedule Details","","","1311"<endrec>
"Pay Bill","CUSTOMER","3","2","1007","1","Customer Pay Bill","1001","2","Create Customer Reminder Schedule","CreateCustomerReminderScheduleWithShortCode","","1301"<endrec>
"Buy Airtime","CUSTOMER","3","3","1008","1","2106","1001","3","Create Customer Reminder Schedule","CreateCustomerReminderScheduleWithShortCodeAndMSISDN","","1302"<endrec>
"IMT Transfer Abroad","CUSTOMER","3","4","1009","1","3304","1001","4","Create Customer Reminder Schedule","CreateCustomerIMTTransferAbroadReminderSchedule","","1303"<endrec>
"M-Shwari Withdraw","CUSTOMER","3","5","1010","1","3201","1001","5","Create Customer Reminder Schedule","CreateCustomerM-ShwariWithdrawReminderSchedule","","1304"<endrec>
"Customer Create Account","CUSTOMER","1","45","10101","1","","-1","55","Customer Create Account","","","20102"<endrec>
"M-Kesho Withdraw","CUSTOMER","3","6","1011","1","3211","1001","6","Create Customer Reminder Schedule","CreateCustomerM-KeshoWithdrawReminderSchedule","","1340"<endrec>
"Change Organization Advertisement","TILL","1","1","1012","1","","-1","21","Change Organization Advertisement","","","1103"<endrec>
"Org Intra_Account Transfer","TILL","1","75","10201","1","-1","-1","32","-1","","","0"<endrec>
"Transfer from org float to org float","TILL","2","1","10202","1","","10201","1","Organization Intra-Account Transfer","OrganizationIntraAccountTransfer_float_To_float","","20203"<endrec>
"Purchase Airtime","TILL","1","60","1651","1","","-1","20","-1","","","-1"<endrec>
"Issue","TILL","2","1","177","1","","2216","1","-1","","","-1"<endrec>
"Redeem","TILL","2","2","178","1","","2216","2","-1","","","-1"<endrec>
"Cancel","TILL","2","3","179","1","","2216","3","-1","","","-1"<endrec>
