COMMAND_ID,EXTERNAL_RESULTCODE,EXTERNAL_RESULTDESC,INTERNAL_RESULTCODE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  <endrec>
"*","0","Accept the service request successfully.","AG00000"<endrec>
"*","1002","Parameter missing or data type error.","AG45000"<endrec>
"*","1002","Parameter missing or data type error.","AG45001"<endrec>
"*","1002","Parameter missing or data type error.","AG45006"<endrec>
"*","1002","Parameter missing or data type error.","AG45007"<endrec>
"*","1002","Parameter missing or data type error.","AG45008"<endrec>
"*","1000","System is busy, the service request is rejected.","AG45009"<endrec>
"*","1000","System is busy, the service request is rejected.","AG45010"<endrec>
"*","1000","System is busy, the service request is rejected.","AG45011"<endrec>
"*","1000","System is busy, the service request is rejected.","AG45012"<endrec>
"*","1002","Parameter missing or data type error.","AG45013"<endrec>
"*","1002","Parameter missing or data type error.","AG45014"<endrec>
"*","1002","Parameter missing or data type error.","AG45015"<endrec>
"*","1000","System is busy, the service request is rejected.","AG45016"<endrec>
"*","1002","Parameter missing or data type error.","AG45017"<endrec>
"*","1000","System is busy, the service request is rejected.","AG45018"<endrec>
"*","1001","Caller authentication error.","AG45019"<endrec>
"*","1000","System is busy, the service request is rejected.","AG45020"<endrec>
"*","1003","Duplicate originator conversation ID.","AG45021"<endrec>
"*","1001","Caller authentication error.","AG45022"<endrec>
"*","1002","Parameter missing or data type error.","AG45023"<endrec>
"*","1002","Parameter missing or data type error.","AG45024"<endrec>
"*","1001","Caller authentication error.","AG45025"<endrec>
"*","1002","Parameter missing or data type error.","AG45026"<endrec>
"*","1002","Parameter missing or data type error.","AG45027"<endrec>
"*","1001","Caller authentication error.","AG45028"<endrec>
"*","1000","System is busy, the service request is rejected.","AG45029"<endrec>
"*","1000","System is busy, the service request is rejected.","AG45030"<endrec>
"*","1000","System is busy, the service request is rejected.","AG45031"<endrec>
"*","1000","System is busy, the service request is rejected.","AG45032"<endrec>
"*","1000","System is busy, the service request is rejected.","AG45033"<endrec>
"*","1001","Caller authentication error.","AG45036"<endrec>
"*","1000","System is busy, the service request is rejected.","AG45037"<endrec>
"*","1002","Parameter missing or data type error.","AG45038"<endrec>
"*","1000","System is busy, the service request is rejected.","AG45039"<endrec>
"*","1000","System is busy, the service request is rejected.","AG45040"<endrec>
"*","1000","System is busy, the service request is rejected.","AG45041"<endrec>
"*","1000","System is busy, the service request is rejected.","AG45042"<endrec>
"*","1002","Parameter missing or data type error.","AG45043"<endrec>
"*","1002","Parameter missing or data type error.","AG45044"<endrec>
"*","1001","Caller authentication error.","AG45045"<endrec>
"*","1000","System is busy, the service request is rejected.","AG45100"<endrec>
"*","1002","Parameter missing or data type error.","AG45101"<endrec>
"*","1002","Parameter missing or data type error.","AG45300"<endrec>
"*","1002","Parameter missing or data type error.","AG45301"<endrec>
"*","1002","Parameter missing or data type error.","AG45302"<endrec>
"*","1002","Parameter missing or data type error.","AG45303"<endrec>
"*","1002","Parameter missing or data type error.","AG45304"<endrec>
"*","1002","Parameter missing or data type error.","AG45305"<endrec>
"*","1002","Parameter missing or data type error.","AG45306"<endrec>
"*","1000","System is busy, the service request is rejected.","AG45307"<endrec>
"*","1001","Caller authentication error.","AG45308"<endrec>
"*","6004","SMS verification code invalid.","AG45310"<endrec>
"*","6005","Session timeout.","AG45313"<endrec>
"*","6004","SMS verification code invalid.","AG45314"<endrec>
"*","1100","System is being maintained, please try again later.","AG45315"<endrec>
"*","1002","Parameter missing or data type error.","AG45500"<endrec>
"*","1000","System is busy, the service request is rejected.","AG45700"<endrec>
"*","1000","System is busy, the service request is rejected.","AG45701"<endrec>
"*","1000","System is busy, the service request is rejected.","AG45702"<endrec>
"*","1000","System is busy, the service request is rejected.","AG45703"<endrec>
"*","1002","Parameter missing or data type error.","AG45900"<endrec>
"*","1002","Parameter missing or data type error.","AG45901"<endrec>
"*","1002","Parameter missing or data type error.","AG45902"<endrec>
"*","1000","System is busy, the service request is rejected.","AG45903"<endrec>
"*","1001","Caller authentication error.","AG45904"<endrec>
"*","1000","System is busy, the service request is rejected.","AG45905"<endrec>
"*","1001","Caller authentication error.","AG45906"<endrec>
"*","49035","The AG failed to send a message to a third party.","AG49035"<endrec>
"*","49036","Response timed out after the AG sends a message to a third party.","AG49036"<endrec>
"*","49037","Third-party verification failed.","AG49037"<endrec>
"*","2004","The entered transaction amount is invalid.","AG_EXT1002"<endrec>
"*","-1","The number of records in a bulk file cannot exceed","BC52003"<endrec>
"*","2001","Initiator does not have the permission for subscription.","BC52057"<endrec>
"*","2023","File load error.","BC52070"<endrec>
"*","2010","Request has been rejected by the approver.","BC52075"<endrec>
"*","2011","Request process expired because of approval timeout.","BC52089"<endrec>
"*","2012","Initiator in wrong status.","BC52092"<endrec>
